session_duration,risk_score
140,52.5
87,67.5
83,67.5
121,84.375
97,52.5
81,52.5
121,70.875
158,52.5
141,52.5
112,67.5
92,52.5
122,50.0
83,52.5
106,62.5
123,67.5
129,62.5
82,52.5
155,52.5
100,70.875
122,52.5
105,52.5
143,70.875
129,70.875
142,62.5
90,84.375
154,70.875
157,50.0
110,84.375
106,52.5
131,62.5
80,52.5
93,62.5
116,50.0
108,67.5
125,50.0
88,67.5
128,52.5
154,84.375
125,62.5
139,52.5
102,62.5
113,50.0
155,62.5
107,70.875
150,50.0
91,52.5
96,50.0
88,70.875
99,70.875
89,67.5
105,52.5
115,67.5
143,62.5
129,52.5
127,50.0
106,52.5
95,52.5
109,62.5
83,62.5
104,70.875
100,52.5
105,50.0
88,67.5
85,62.5
153,50.0
105,52.5
86,50.0
91,50.0
92,70.875
119,52.5
132,67.5
117,50.0
135,62.5
98,62.5
142,50.0
111,52.5
95,52.5
105,84.375
89,50.0
133,52.5
92,52.5
118,52.5
88,52.5
154,52.5
88,84.375
127,62.5
110,52.5
157,52.5
141,50.0
101,50.0
135,62.5
144,67.5
151,70.875
158,50.0
133,52.5
120,52.5
115,52.5
114,70.875
154,62.5
141,70.875
131,50.0
147,50.0
148,52.5
152,70.875
130,52.5
115,62.5
108,52.5
138,52.5
113,70.875
114,84.375
92,84.375
140,50.0
84,52.5
108,67.5
120,52.5
109,70.875
113,52.5
95,62.5
131,67.5
140,52.5
116,52.5
151,52.5
118,70.875
104,52.5
118,52.5
89,67.5
85,50.0
103,70.875
91,70.875
124,52.5
94,70.875
153,70.875
158,62.5
151,70.875
91,52.5
95,50.0
153,84.375
131,52.5
134,84.375
112,50.0
140,50.0
138,70.875
130,62.5
127,70.875
83,50.0
156,70.875
102,70.875
106,52.5
130,52.5
114,50.0
93,84.375
131,70.875
112,52.5
134,50.0
93,62.5
98,62.5
137,52.5
101,52.5
108,52.5
130,70.875
87,50.0
148,52.5
143,52.5
132,52.5
155,62.5
151,52.5
89,84.375
115,70.875
98,52.5
125,84.375
100,52.5
130,50.0
125,50.0
133,52.5
85,52.5
138,52.5
149,62.5
110,70.875
142,52.5
120,52.5
85,70.875
144,84.375
81,52.5
123,84.375
127,70.875
151,52.5
141,52.5
136,50.0
131,67.5
113,52.5
94,52.5
138,52.5
114,62.5
101,52.5
90,84.375
151,52.5
87,50.0
149,70.875
84,52.5
135,52.5
120,62.5
95,62.5
106,52.5
118,70.875
113,52.5
137,70.875
127,50.0
107,62.5
122,52.5
158,52.5
113,62.5
149,52.5
118,52.5
90,62.5
144,62.5
117,52.5
116,52.5
105,52.5
96,84.375
147,50.0
126,70.875
135,52.5
115,70.875
98,52.5
85,70.875
81,62.5
141,52.5
110,52.5
85,84.375
95,52.5
100,52.5
104,84.375
107,62.5
121,52.5
99,84.375
90,84.375
102,70.875
80,50.0
99,70.875
99,52.5
95,52.5
136,62.5
97,52.5
95,70.875
138,52.5
114,67.5
128,52.5
128,52.5
139,62.5
137,52.5
84,52.5
104,84.375
113,52.5
143,70.875
86,52.5
147,62.5
135,52.5
127,70.875
98,70.875
95,50.0
125,52.5
126,52.5
106,50.0
95,52.5
148,52.5
143,70.875
140,52.5
118,52.5
111,70.875
137,70.875
134,70.875
107,50.0
103,70.875
139,70.875
148,70.875
81,50.0
85,52.5
134,52.5
115,70.875
101,67.5
104,52.5
93,84.375
133,62.5
138,67.5
133,62.5
131,52.5
82,62.5
126,67.5
136,52.5
82,52.5
119,52.5
97,84.375
129,52.5
153,70.875
106,52.5
131,62.5
94,52.5
151,70.875
98,70.875
131,62.5
92,84.375
109,52.5
82,52.5
151,52.5
143,52.5
150,50.0
80,67.5
105,62.5
157,67.5
87,52.5
106,52.5
157,50.0
144,52.5
87,70.875
119,67.5
140,52.5
91,50.0
138,52.5
141,52.5
86,62.5
106,52.5
143,52.5
103,52.5
105,52.5
145,84.375
137,84.375
88,52.5
117,70.875
82,70.875
124,84.375
155,52.5
123,84.375
81,62.5
94,52.5
115,52.5
105,70.875
82,62.5
82,67.5
111,70.875
111,52.5
88,52.5
120,50.0
94,52.5
94,52.5
144,50.0
116,62.5
82,70.875
82,62.5
124,62.5
112,52.5
154,50.0
85,52.5
87,50.0
118,70.875
133,52.5
124,52.5
110,62.5
113,84.375
147,50.0
121,52.5
93,52.5
80,52.5
150,62.5
143,70.875
98,52.5
82,52.5
85,70.875
112,84.375
83,70.875
128,52.5
131,50.0
120,52.5
114,52.5
115,50.0
112,62.5
126,70.875
155,52.5
119,50.0
140,52.5
110,62.5
103,52.5
82,52.5
145,67.5
152,52.5
157,52.5
134,52.5
146,50.0
150,52.5
159,67.5
94,70.875
120,52.5
124,62.5
108,50.0
144,62.5
95,62.5
122,52.5
114,70.875
110,50.0
148,70.875
134,52.5
138,52.5
140,50.0
98,52.5
98,52.5
102,50.0
130,50.0
103,70.875
82,62.5
95,84.375
115,52.5
115,52.5
157,52.5
114,84.375
101,52.5
114,62.5
97,52.5
132,52.5
154,67.5
105,52.5
116,52.5
88,52.5
143,52.5
138,52.5
130,52.5
133,50.0
124,70.875
108,84.375
131,52.5
143,50.0
121,52.5
138,70.875
80,50.0
105,52.5
126,52.5
107,50.0
93,50.0
94,50.0
130,50.0
85,62.5
150,84.375
99,52.5
102,67.5
144,70.875
112,67.5
91,52.5
95,70.875
121,52.5
155,52.5
127,70.875
107,52.5
124,62.5
80,70.875
156,70.875
82,52.5
118,70.875
130,70.875
95,70.875
133,84.375
97,52.5
87,70.875
84,52.5
118,52.5
123,52.5
140,52.5
139,67.5
123,70.875
151,50.0
81,50.0
139,62.5
153,50.0
134,50.0
111,52.5
99,70.875
92,62.5
113,50.0
115,52.5
149,52.5
131,50.0
103,50.0
133,70.875
141,70.875
158,52.5
103,52.5
107,52.5
93,52.5
87,62.5
120,52.5
82,70.875
129,62.5
144,52.5
103,52.5
118,62.5
116,70.875
155,70.875
123,52.5
127,52.5
129,50.0
114,52.5
104,62.5
103,62.5
108,52.5
122,50.0
91,70.875
144,50.0
137,50.0
80,52.5
116,70.875
110,84.375
141,50.0
122,62.5
144,52.5
146,52.5
113,52.5
85,52.5
88,50.0
135,52.5
148,52.5
129,70.875
106,67.5
150,52.5
86,50.0
131,50.0
100,62.5
116,52.5
122,52.5
131,52.5
141,52.5
144,70.875
110,52.5
156,67.5
131,52.5
88,52.5
146,67.5
139,84.375
81,50.0
89,67.5
80,50.0
125,52.5
115,52.5
128,62.5
145,52.5
91,70.875
84,50.0
98,70.875
111,50.0
130,50.0
85,52.5
118,50.0
102,62.5
153,52.5
102,52.5
91,84.375
98,62.5
87,52.5
113,52.5
94,52.5
151,62.5
84,52.5
80,52.5
101,67.5
117,52.5
139,50.0
134,70.875
141,52.5
112,67.5
140,52.5
135,50.0
98,62.5
131,70.875
133,52.5
143,52.5
123,70.875
126,67.5
83,70.875
88,62.5
126,52.5
145,62.5
109,62.5
139,84.375
139,52.5
109,70.875
110,50.0
132,52.5
93,52.5
99,84.375
89,52.5
114,50.0
84,52.5
114,52.5
99,70.875
140,62.5
134,52.5
131,52.5
86,50.0
146,52.5
117,52.5
89,52.5
92,67.5
146,52.5
106,52.5
148,52.5
115,52.5
97,52.5
120,50.0
127,50.0
111,62.5
114,52.5
92,62.5
92,62.5
90,52.5
80,70.875
90,52.5
96,52.5
133,52.5
143,62.5
159,52.5
144,52.5
157,70.875
135,70.875
89,62.5
145,62.5
109,52.5
127,52.5
105,52.5
126,67.5
126,52.5
121,50.0
116,52.5
151,70.875
98,52.5
81,70.875
98,52.5
89,70.875
158,67.5
102,62.5
144,50.0
144,52.5
131,52.5
124,52.5
97,52.5
132,70.875
105,62.5
127,52.5
111,52.5
97,52.5
132,62.5
106,52.5
147,52.5
103,52.5
110,52.5
86,70.875
154,52.5
135,52.5
91,52.5
121,52.5
95,70.875
146,70.875
100,52.5
144,50.0
147,70.875
136,70.875
135,70.875
121,70.875
122,52.5
147,52.5
142,50.0
141,52.5
90,52.5
137,52.5
93,52.5
124,70.875
92,52.5
106,50.0
83,52.5
81,52.5
99,70.875
95,62.5
111,52.5
95,52.5
144,62.5
120,70.875
156,50.0
158,52.5
148,70.875
108,62.5
110,62.5
107,84.375
101,67.5
133,84.375
159,62.5
89,67.5
139,50.0
154,52.5
157,84.375
108,50.0
139,50.0
99,70.875
114,52.5
108,52.5
94,70.875
85,52.5
140,52.5
138,50.0
137,70.875
151,62.5
155,67.5
82,52.5
142,52.5
103,52.5
129,62.5
112,52.5
99,70.875
97,50.0
89,52.5
146,62.5
111,52.5
128,84.375
153,52.5
85,50.0
123,52.5
112,52.5
120,70.875
139,52.5
120,50.0
129,70.875
132,84.375
101,52.5
106,50.0
82,52.5
111,70.875
131,52.5
125,52.5
149,52.5
93,62.5
113,62.5
150,70.875
88,70.875
155,70.875
141,70.875
107,67.5
109,70.875
152,52.5
105,52.5
139,50.0
82,52.5
147,50.0
127,52.5
143,70.875
114,50.0
134,50.0
110,70.875
98,50.0
143,52.5
151,70.875
109,52.5
111,70.875
131,50.0
126,62.5
84,62.5
143,67.5
99,52.5
157,62.5
82,67.5
80,52.5
83,50.0
122,50.0
109,70.875
115,52.5
103,62.5
147,52.5
134,50.0
134,52.5
140,62.5
116,70.875
123,62.5
137,62.5
119,84.375
132,70.875
144,84.375
100,52.5
115,70.875
108,67.5
144,62.5
83,70.875
144,52.5
94,52.5
126,67.5
136,50.0
154,52.5
93,70.875
104,84.375
131,52.5
137,70.875
116,62.5
101,62.5
86,62.5
117,52.5
121,67.5
138,52.5
144,52.5
118,52.5
145,52.5
120,70.875
136,70.875
129,52.5
150,50.0
133,52.5
114,50.0
127,52.5
88,52.5
89,52.5
82,52.5
132,67.5
103,62.5
124,50.0
127,52.5
113,62.5
80,52.5
122,50.0
97,52.5
114,84.375
140,52.5
150,84.375
151,50.0
142,52.5
127,52.5
139,70.875
97,52.5
146,52.5
83,52.5
84,52.5
96,70.875
81,62.5
150,52.5
111,52.5
120,50.0
92,52.5
106,52.5
82,52.5
112,50.0
82,50.0
147,52.5
140,62.5
115,67.5
113,84.375
81,70.875
110,62.5
82,52.5
138,50.0
156,62.5
127,62.5
128,52.5
124,70.875
132,52.5
102,52.5
92,62.5
90,52.5
99,70.875
80,70.875
96,52.5
154,50.0
147,50.0
130,67.5
137,52.5
151,52.5
140,70.875
111,52.5
113,50.0
82,52.5
155,50.0
90,70.875
108,50.0
120,52.5
84,52.5
142,50.0
100,52.5
85,70.875
147,70.875
85,52.5
114,52.5
128,52.5
125,62.5
104,52.5
147,70.875
153,52.5
98,62.5
128,52.5
121,67.5
113,52.5
128,52.5
95,52.5
81,52.5
145,62.5
122,52.5
158,52.5
156,84.375
150,50.0
92,70.875
132,52.5
100,67.5
94,52.5
97,52.5
105,70.875
91,67.5
105,67.5
157,70.875
81,52.5
96,52.5
131,52.5
106,67.5
115,70.875
110,70.875
100,52.5
122,84.375
111,50.0
99,52.5
81,62.5
156,52.5
137,70.875
88,70.875
82,70.875
134,62.5
137,52.5
105,50.0
130,52.5
142,50.0
115,67.5
89,52.5
93,52.5
121,62.5
151,70.875
150,52.5
134,70.875
144,50.0
103,52.5
118,52.5
132,52.5
149,50.0
158,70.875
157,52.5
91,62.5
137,70.875
125,52.5
84,84.375
81,70.875
143,70.875
92,62.5
125,52.5
126,62.5
151,50.0
96,52.5
81,62.5
108,50.0
120,52.5
134,70.875
94,52.5
119,52.5
119,70.875
103,62.5
103,62.5
117,67.5
92,62.5
142,52.5
143,52.5
148,70.875
158,52.5
86,67.5
146,70.875
156,52.5
83,62.5
114,84.375
146,50.0
104,62.5
150,84.375
111,52.5
90,52.5
111,50.0
103,52.5
149,50.0
158,52.5
107,70.875
138,67.5
158,52.5
119,52.5
90,52.5
85,52.5
87,52.5
111,52.5
134,84.375
141,52.5
149,52.5
133,52.5
148,52.5
83,50.0
105,67.5
114,50.0
153,52.5
128,52.5
136,67.5
105,62.5
106,50.0
100,52.5
109,52.5
81,84.375
86,50.0
130,67.5
154,52.5
111,67.5
120,52.5
94,70.875
121,84.375
142,52.5
100,62.5
140,62.5
98,50.0
83,70.875
149,50.0
141,52.5
147,50.0
95,67.5
106,62.5
117,52.5
111,70.875
107,50.0
106,52.5
138,70.875
123,52.5
83,52.5
91,84.375
127,52.5
88,70.875
152,70.875
87,52.5
103,52.5
90,50.0
95,50.0
105,84.375
104,62.5
142,70.875
143,52.5
104,70.875
159,52.5
145,50.0
134,62.5
159,50.0
111,67.5
104,62.5
80,84.375
137,84.375
100,50.0
124,52.5
109,52.5
149,70.875
132,52.5
109,70.875
126,62.5
133,52.5
128,52.5
119,52.5
82,52.5
94,84.375
151,70.875
111,70.875
145,52.5
151,52.5
80,52.5
122,50.0
80,52.5
141,84.375
91,70.875
107,50.0
109,50.0
124,50.0
103,52.5
80,62.5
80,62.5
152,50.0
139,50.0
111,52.5
135,70.875
153,62.5
116,70.875
81,52.5
82,62.5
132,52.5
123,62.5
138,84.375
153,70.875
115,62.5
143,70.875
113,52.5
117,62.5
138,52.5
100,52.5
141,52.5
98,52.5
96,52.5
114,52.5
139,62.5
146,52.5
158,70.875
113,52.5
125,84.375
152,50.0
153,70.875
144,52.5
137,50.0
92,52.5
138,67.5
114,52.5
93,62.5
159,70.875
156,52.5
150,70.875
94,52.5
100,84.375
133,52.5
107,84.375
128,52.5
142,62.5
92,52.5
152,50.0
98,62.5
84,52.5
147,50.0
115,70.875
149,84.375
107,67.5
107,67.5
83,50.0
139,52.5
83,52.5
152,50.0
118,70.875
133,70.875
113,52.5
144,84.375
144,52.5
81,70.875
151,52.5
145,62.5
142,50.0
119,62.5
142,52.5
99,84.375
117,84.375
107,52.5
96,52.5
143,50.0
146,67.5
98,52.5
122,52.5
117,62.5
149,67.5
155,50.0
87,52.5
87,52.5
128,50.0
120,52.5
110,70.875
139,70.875
112,62.5
158,70.875
135,62.5
132,62.5
114,52.5
91,52.5
89,52.5
131,62.5
139,70.875
138,70.875
102,70.875
86,50.0
94,70.875
84,50.0
136,62.5
143,67.5
133,62.5
106,52.5
85,62.5
114,62.5
125,52.5
94,67.5
97,52.5
99,52.5
106,84.375
138,52.5
154,52.5
119,67.5
146,70.875
140,52.5
154,52.5
115,62.5
97,52.5
145,70.875
130,52.5
115,52.5
89,52.5
106,50.0
124,52.5
117,70.875
151,70.875
104,52.5
94,50.0
125,52.5
83,50.0
149,52.5
83,52.5
91,67.5
92,67.5
107,84.375
141,67.5
102,62.5
155,84.375
90,50.0
102,52.5
115,67.5
88,52.5
137,52.5
123,52.5
131,52.5
87,52.5
103,70.875
86,52.5
159,52.5
140,52.5
129,50.0
132,52.5
153,52.5
114,62.5
132,62.5
134,84.375
87,52.5
122,52.5
154,67.5
95,50.0
94,67.5
137,62.5
112,52.5
103,52.5
103,62.5
147,52.5
129,50.0
95,70.875
112,70.875
90,52.5
86,70.875
135,52.5
89,50.0
108,62.5
109,52.5
119,52.5
103,62.5
84,50.0
80,70.875
98,67.5
114,67.5
91,52.5
108,52.5
123,50.0
88,52.5
152,62.5
146,52.5
92,50.0
97,52.5
97,52.5
103,52.5
149,50.0
129,52.5
89,84.375
116,52.5
138,50.0
96,84.375
109,62.5
98,50.0
117,70.875
151,52.5
93,67.5
123,50.0
116,84.375
140,70.875
105,50.0
148,52.5
87,67.5
129,52.5
106,52.5
128,52.5
104,52.5
137,70.875
144,52.5
159,50.0
135,62.5
103,67.5
104,62.5
122,70.875
95,70.875
127,52.5
97,70.875
132,52.5
159,52.5
105,52.5
116,62.5
80,52.5
113,70.875
101,62.5
143,70.875
105,52.5
136,62.5
108,50.0
140,52.5
85,52.5
123,62.5
87,62.5
141,50.0
128,62.5
133,52.5
116,52.5
130,52.5
127,52.5
143,70.875
121,52.5
158,62.5
82,62.5
91,52.5
138,52.5
155,52.5
87,52.5
97,62.5
84,62.5
93,70.875
121,52.5
139,52.5
154,62.5
88,52.5
156,52.5
114,67.5
155,52.5
122,52.5
122,70.875
80,62.5
80,50.0
147,52.5
153,50.0
124,52.5
126,62.5
149,62.5
132,52.5
106,67.5
130,52.5
97,70.875
125,62.5
123,67.5
125,52.5
98,62.5
121,70.875
124,62.5
145,52.5
124,52.5
113,70.875
138,67.5
127,50.0
157,52.5
102,52.5
107,52.5
142,62.5
137,50.0
98,50.0
121,70.875
118,70.875
111,62.5
111,52.5
148,52.5
111,70.875
151,50.0
114,52.5
149,52.5
110,62.5
131,52.5
152,62.5
130,70.875
143,50.0
91,84.375
87,62.5
97,52.5
151,70.875
100,62.5
80,84.375
86,52.5
121,67.5
104,52.5
86,70.875
93,52.5
158,50.0
138,50.0
142,70.875
144,52.5
115,52.5
113,67.5
110,52.5
99,52.5
121,52.5
116,62.5
89,50.0
112,52.5
120,52.5
144,52.5
128,52.5
123,62.5
146,70.875
139,70.875
99,52.5
80,52.5
117,67.5
106,84.375
94,50.0
103,67.5
151,50.0
84,70.875
158,52.5
145,62.5
88,52.5
115,84.375
139,52.5
144,50.0
85,62.5
119,70.875
111,84.375
154,52.5
124,50.0
119,70.875
100,84.375
95,70.875
82,52.5
114,50.0
158,70.875
98,62.5
144,84.375
126,84.375
116,62.5
146,50.0
121,67.5
135,62.5
136,70.875
83,62.5
123,52.5
147,84.375
90,52.5
148,52.5
108,52.5
115,52.5
138,50.0
131,52.5
136,84.375
116,70.875
95,52.5
125,52.5
96,50.0
89,52.5
100,52.5
156,70.875
95,50.0
138,62.5
155,70.875
117,84.375
86,52.5
105,52.5
141,52.5
150,52.5
80,62.5
133,70.875
90,70.875
140,52.5
159,70.875
128,52.5
108,52.5
123,62.5
94,52.5
109,52.5
80,52.5
82,50.0
103,50.0
154,52.5
114,62.5
132,70.875
117,52.5
140,52.5
150,62.5
92,50.0
158,52.5
144,52.5
82,62.5
112,52.5
117,50.0
101,50.0
89,52.5
130,52.5
141,62.5
90,50.0
102,52.5
102,67.5
119,52.5
115,62.5
100,50.0
156,52.5
156,52.5
92,70.875
90,52.5
122,52.5
140,62.5
142,52.5
108,52.5
82,52.5
144,52.5
156,70.875
96,52.5
117,70.875
97,52.5
81,52.5
84,52.5
137,52.5
155,67.5
93,62.5
159,52.5
125,62.5
134,62.5
157,62.5
149,70.875
137,52.5
137,67.5
99,52.5
146,52.5
152,70.875
92,50.0
152,70.875
116,70.875
104,70.875
148,84.375
85,52.5
85,52.5
127,62.5
150,52.5
147,50.0
137,62.5
144,52.5
123,70.875
103,52.5
136,84.375
145,52.5
124,50.0
87,62.5
126,52.5
118,52.5
110,52.5
102,67.5
99,52.5
106,62.5
147,52.5
106,52.5
129,52.5
91,50.0
107,62.5
95,67.5
153,52.5
95,62.5
138,62.5
137,50.0
152,50.0
126,52.5
159,70.875
87,50.0
119,70.875
150,62.5
106,84.375
144,67.5
93,70.875
138,70.875
153,70.875
139,62.5
89,50.0
114,62.5
137,52.5
114,70.875
138,67.5
116,52.5
111,52.5
124,62.5
139,70.875
89,52.5
110,67.5
140,52.5
128,52.5
138,52.5
99,67.5
106,50.0
139,62.5
145,52.5
86,67.5
89,52.5
127,50.0
85,52.5
122,52.5
86,50.0
88,52.5
152,62.5
111,70.875
121,62.5
156,50.0
102,52.5
90,52.5
121,52.5
112,52.5
94,62.5
80,50.0
148,70.875
85,52.5
123,50.0
115,52.5
101,52.5
104,62.5
127,52.5
137,52.5
116,50.0
105,62.5
103,52.5
82,84.375
90,52.5
83,67.5
130,70.875
90,52.5
133,52.5
135,50.0
106,84.375
93,67.5
134,52.5
159,62.5
111,50.0
104,50.0
149,52.5
132,62.5
143,62.5
136,62.5
127,52.5
85,52.5
127,52.5
118,52.5
93,70.875
104,50.0
116,62.5
105,62.5
138,52.5
139,62.5
124,52.5
113,52.5
137,50.0
91,50.0
99,84.375
133,70.875
140,50.0
126,52.5
103,52.5
107,52.5
92,62.5
128,52.5
111,52.5
81,70.875
152,52.5
88,62.5
93,52.5
124,52.5
97,62.5
127,52.5
86,62.5
156,62.5
96,52.5
128,62.5
99,62.5
85,50.0
97,52.5
106,62.5
97,62.5
107,50.0
140,67.5
89,52.5
112,70.875
93,52.5
133,52.5
128,50.0
110,52.5
151,52.5
86,52.5
126,52.5
143,52.5
145,52.5
109,84.375
137,70.875
113,52.5
149,62.5
113,67.5
92,67.5
130,62.5
91,62.5
90,52.5
87,50.0
123,70.875
126,67.5
87,52.5
101,70.875
139,70.875
123,67.5
149,52.5
149,84.375
110,70.875
129,62.5
118,52.5
153,67.5
138,52.5
135,62.5
80,52.5
116,52.5
111,70.875
114,52.5
146,70.875
132,52.5
85,70.875
80,84.375
155,50.0
107,52.5
84,50.0
98,84.375
116,52.5
99,52.5
135,70.875
139,50.0
158,52.5
141,70.875
97,50.0
115,50.0
159,52.5
85,70.875
104,62.5
85,62.5
108,52.5
148,50.0
81,70.875
133,62.5
129,52.5
123,50.0
91,52.5
159,52.5
115,70.875
122,52.5
116,52.5
150,70.875
127,52.5
124,67.5
84,52.5
89,52.5
88,52.5
122,62.5
120,50.0
110,67.5
154,52.5
89,50.0
107,62.5
125,50.0
113,70.875
137,50.0
98,52.5
154,50.0
125,52.5
147,52.5
119,62.5
130,52.5
102,62.5
132,52.5
99,52.5
125,52.5
82,52.5
136,52.5
89,50.0
140,52.5
86,52.5
143,62.5
150,52.5
91,62.5
147,52.5
112,52.5
121,62.5
86,62.5
112,62.5
155,50.0
124,70.875
94,50.0
105,52.5
145,52.5
107,70.875
137,52.5
145,50.0
121,62.5
101,52.5
157,62.5
93,50.0
85,70.875
153,62.5
158,52.5
83,52.5
104,50.0
92,52.5
156,52.5
149,52.5
116,62.5
130,67.5
98,50.0
112,52.5
139,52.5
104,84.375
103,70.875
155,84.375
101,62.5
152,62.5
153,50.0
97,62.5
137,62.5
144,52.5
146,50.0
130,52.5
151,67.5
100,62.5
157,52.5
156,50.0
138,84.375
82,52.5
137,52.5
139,52.5
128,62.5
109,52.5
124,52.5
126,70.875
105,70.875
100,70.875
129,52.5
105,50.0
111,84.375
120,62.5
156,52.5
139,52.5
135,62.5
108,52.5
127,50.0
84,52.5
117,52.5
137,62.5
94,70.875
153,52.5
99,70.875
142,52.5
84,67.5
117,52.5
159,52.5
126,62.5
94,52.5
128,50.0
108,50.0
111,70.875
114,70.875
85,84.375
131,50.0
109,62.5
159,50.0
122,70.875
82,52.5
86,52.5
146,52.5
146,67.5
141,70.875
127,50.0
130,62.5
120,62.5
135,50.0
126,50.0
145,84.375
152,70.875
138,67.5
112,52.5
154,70.875
146,62.5
99,62.5
150,62.5
82,70.875
137,52.5
131,52.5
138,62.5
131,70.875
150,52.5
99,84.375
81,84.375
128,84.375
124,84.375
144,52.5
140,84.375
82,84.375
99,62.5
87,52.5
85,84.375
156,84.375
157,67.5
130,52.5
89,52.5
89,52.5
128,62.5
93,52.5
86,52.5
103,52.5
135,70.875
125,50.0
139,62.5
147,70.875
120,50.0
142,52.5
107,70.875
148,50.0
154,67.5
126,50.0
159,70.875
88,62.5
89,52.5
143,84.375
88,84.375
134,52.5
115,70.875
128,52.5
116,52.5
82,70.875
152,50.0
120,50.0
97,62.5
127,50.0
140,52.5
139,67.5
155,50.0
129,52.5
152,50.0
137,52.5
80,50.0
119,62.5
91,70.875
123,70.875
90,70.875
108,84.375
157,62.5
83,67.5
80,52.5
101,62.5
156,52.5
98,52.5
159,62.5
149,50.0
98,50.0
113,52.5
97,52.5
101,52.5
115,67.5
127,62.5
99,52.5
130,52.5
141,52.5
111,67.5
146,70.875
146,52.5
121,70.875
99,52.5
146,52.5
146,50.0
97,67.5
147,67.5
129,62.5
92,62.5
86,52.5
108,50.0
114,70.875
118,62.5
124,62.5
155,52.5
120,62.5
86,52.5
144,62.5
141,52.5
121,52.5
134,52.5
145,70.875
114,50.0
116,52.5
157,52.5
131,70.875
107,50.0
158,67.5
146,52.5
117,67.5
100,70.875
126,70.875
126,52.5
115,67.5
105,62.5
147,52.5
120,84.375
141,62.5
108,50.0
94,52.5
133,52.5
119,70.875
129,70.875
111,52.5
104,50.0
148,52.5
147,52.5
102,50.0
147,62.5
95,50.0
136,52.5
129,70.875
109,52.5
131,70.875
104,50.0
92,62.5
94,67.5
100,52.5
118,70.875
123,52.5
82,52.5
149,62.5
147,52.5
103,52.5
152,50.0
121,52.5
138,67.5
101,52.5
80,70.875
96,70.875
94,52.5
158,67.5
145,50.0
159,84.375
95,62.5
108,52.5
136,52.5
102,67.5
88,70.875
82,70.875
102,67.5
131,50.0
85,67.5
135,50.0
113,62.5
101,67.5
132,70.875
105,52.5
154,52.5
99,52.5
140,52.5
113,62.5
131,52.5
117,70.875
150,50.0
135,50.0
129,70.875
81,70.875
89,50.0
132,52.5
85,62.5
142,52.5
97,52.5
101,50.0
110,52.5
153,50.0
158,52.5
156,70.875
148,62.5
127,50.0
146,52.5
105,62.5
81,70.875
128,62.5
87,67.5
119,52.5
103,52.5
97,70.875
83,52.5
108,70.875
136,52.5
117,70.875
89,62.5
136,62.5
83,62.5
135,67.5
86,50.0
114,52.5
116,62.5
133,70.875
81,70.875
121,52.5
120,67.5
134,67.5
93,52.5
143,62.5
111,50.0
132,62.5
88,52.5
150,52.5
124,84.375
87,70.875
80,62.5
114,50.0
158,52.5
140,52.5
136,50.0
141,70.875
147,62.5
115,52.5
95,70.875
130,70.875
82,52.5
105,70.875
128,62.5
88,52.5
137,52.5
95,52.5
86,52.5
109,52.5
88,50.0
139,52.5
158,62.5
112,62.5
85,62.5
114,50.0
98,52.5
107,52.5
98,52.5
93,50.0
80,52.5
154,52.5
123,52.5
134,50.0
134,50.0
142,62.5
106,62.5
151,52.5
157,52.5
111,67.5
139,50.0
142,52.5
104,52.5
121,70.875
97,52.5
81,52.5
147,52.5
87,50.0
145,50.0
125,70.875
107,52.5
108,50.0
115,84.375
122,52.5
109,62.5
126,70.875
155,52.5
142,84.375
139,52.5
156,70.875
135,62.5
125,62.5
145,62.5
89,52.5
124,70.875
110,84.375
130,52.5
123,52.5
123,52.5
142,52.5
93,62.5
112,62.5
120,70.875
126,52.5
85,62.5
156,70.875
80,62.5
126,52.5
89,62.5
84,52.5
109,67.5
142,67.5
81,52.5
80,52.5
140,84.375
85,50.0
124,62.5
125,67.5
142,52.5
101,84.375
156,67.5
89,50.0
140,70.875
133,62.5
154,70.875
83,62.5
118,62.5
102,52.5
156,52.5
134,62.5
116,52.5
131,50.0
151,52.5
112,52.5
134,70.875
134,50.0
115,50.0
118,62.5
114,52.5
135,62.5
109,52.5
124,50.0
150,62.5
91,62.5
124,52.5
87,52.5
90,70.875
94,50.0
81,52.5
145,50.0
102,52.5
97,62.5
153,62.5
134,52.5
83,67.5
80,52.5
93,50.0
112,52.5
132,52.5
118,67.5
126,70.875
122,52.5
136,84.375
87,70.875
91,52.5
83,52.5
137,67.5
80,52.5
98,70.875
147,70.875
125,62.5
121,50.0
142,70.875
99,52.5
127,50.0
122,62.5
159,70.875
106,62.5
101,70.875
151,67.5
109,62.5
132,70.875
126,52.5
126,52.5
147,52.5
108,50.0
143,52.5
104,70.875
85,52.5
129,70.875
129,62.5
139,70.875
99,62.5
141,50.0
106,62.5
103,67.5
126,50.0
129,52.5
98,52.5
109,52.5
142,70.875
154,52.5
114,70.875
131,70.875
102,52.5
82,50.0
85,52.5
88,52.5
110,52.5
87,52.5
92,62.5
145,70.875
154,62.5
108,52.5
91,52.5
91,62.5
132,67.5
156,70.875
157,52.5
153,50.0
145,67.5
116,70.875
104,52.5
149,50.0
109,52.5
137,70.875
107,70.875
99,70.875
140,52.5
110,52.5
151,84.375
95,62.5
131,62.5
150,67.5
155,52.5
90,62.5
115,50.0
158,52.5
100,50.0
108,62.5
159,62.5
133,70.875
85,52.5
104,70.875
100,52.5
105,52.5
152,62.5
129,70.875
80,70.875
98,62.5
87,62.5
98,52.5
147,50.0
